   287.000000       1.39999998    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           4           3
          25          70          15
   IIN     XIN       REL SPACING 
   0.21448  -0.38524   0.21446  -0.52083
   0.22100  -0.39746   0.22098  -0.53415
   0.22758  -0.40979   0.22756  -0.54754
   0.23423  -0.42222   0.23421  -0.56098
   0.24095  -0.43475   0.24093  -0.57448
   0.24773  -0.44739   0.24771  -0.58803
   0.25458  -0.46011   0.25456  -0.60163
   0.26149  -0.47293   0.26147  -0.61526
   0.26846  -0.48583   0.26844  -0.62894
   0.27548  -0.49882   0.27546  -0.64265
   0.28256  -0.51189   0.28254  -0.65639
   0.28969  -0.52503   0.28967  -0.67015
   0.29688  -0.53824   0.29686  -0.68394
   0.30412  -0.55151   0.30410  -0.69774
   0.31141  -0.56485   0.31139  -0.71155
   0.31874  -0.57824   0.31872  -0.72536
   0.32612  -0.59168   0.32610  -0.73918
   0.33354  -0.60518   0.33352  -0.75299
   0.34100  -0.61872   0.34098  -0.76680
   0.34851  -0.63230   0.34849  -0.78060
   0.35605  -0.64592   0.35603  -0.79438
   0.36363  -0.65957   0.36361  -0.80815
   0.37124  -0.67326   0.37122  -0.82190
   0.37888  -0.68697   0.37886  -0.83562
   0.38655  -0.70070   0.38653  -0.84931
   0.39425  -0.71445   0.39423  -0.86297
   0.40198  -0.72822   0.40196  -0.87660
   0.40973  -0.74200   0.40971  -0.89019
   0.41751  -0.75578   0.41749  -0.90373
   0.42530  -0.76957   0.42528  -0.91723
   0.43312  -0.78337   0.43310  -0.93068
   0.44095  -0.79715   0.44093  -0.94408
   0.44879  -0.81094   0.44877  -0.95743
   0.45665  -0.82471   0.45663  -0.97071
   0.46452  -0.83847   0.46450  -0.98394
   0.47240  -0.85221   0.47238  -0.99710
   0.48028  -0.86593   0.48026  -1.01020
   0.48817  -0.87963   0.48815  -1.02322
   0.49606  -0.89330   0.49604  -1.03617
   0.50396  -0.90694   0.50394  -1.04905
   0.51185  -0.92055   0.51183  -1.06185
   0.51974  -0.93412   0.51972  -1.07457
   0.52762  -0.94764   0.52760  -1.08720
   0.53550  -0.96112   0.53548  -1.09974
   0.54337  -0.97455   0.54335  -1.11220
   0.55123  -0.98793   0.55121  -1.12456
   0.55907  -1.00126   0.55905  -1.13683
   0.56690  -1.01452   0.56688  -1.14901
   0.57472  -1.02773   0.57470  -1.16108
   0.58251  -1.04087   0.58249  -1.17305
   0.59029  -1.05395   0.59027  -1.18492
   0.59804  -1.06695   0.59802  -1.19669
   0.60577  -1.07988   0.60575  -1.20835
   0.61347  -1.09274   0.61345  -1.21990
   0.62114  -1.10552   0.62112  -1.23134
   0.62878  -1.11821   0.62876  -1.24267
   0.63639  -1.13082   0.63637  -1.25389
   0.64397  -1.14335   0.64395  -1.26499
   0.65151  -1.15578   0.65149  -1.27597
   0.65902  -1.16813   0.65900  -1.28683
   0.66648  -1.18037   0.66646  -1.29758
   0.67390  -1.19253   0.67388  -1.30820
   0.68128  -1.20458   0.68126  -1.31870
   0.68861  -1.21652   0.68859  -1.32908
   0.69590  -1.22837   0.69588  -1.33933
   0.70314  -1.24011   0.70312  -1.34946
   0.71033  -1.25173   0.71030  -1.35946
   0.71746  -1.26325   0.71744  -1.36933
   0.72454  -1.27465   0.72452  -1.37907
   0.73156  -1.28594   0.73154  -1.38868
   0.73853  -1.29710   0.73851  -1.39816
   0.74544  -1.30815   0.74542  -1.40750
   0.75229  -1.31908   0.75227  -1.41672
   0.75907  -1.32988   0.75905  -1.42580
   0.76579  -1.34055   0.76577  -1.43474
   0.77244  -1.35109   0.77242  -1.44355
   0.77902  -1.36151   0.77900  -1.45223
   0.78554  -1.37179   0.78552  -1.46076
   0.79198  -1.38194   0.79196  -1.46917
   0.79835  -1.39195   0.79833  -1.47743
   0.80465  -1.40182   0.80463  -1.48555
   0.81087  -1.41156   0.81085  -1.49354
   0.81702  -1.42115   0.81700  -1.50139
   0.82308  -1.43060   0.82306  -1.50910
   0.82906  -1.43991   0.82904  -1.51667
   0.83497  -1.44907   0.83495  -1.52410
   0.84078  -1.45808   0.84076  -1.53139
   0.84652  -1.46695   0.84650  -1.53853
   0.85217  -1.47566   0.85215  -1.54554
   0.85772  -1.48422   0.85770  -1.55241
   0.86319  -1.49263   0.86317  -1.55914
   0.86857  -1.50089   0.86855  -1.56572
   0.87386  -1.50898   0.87384  -1.57217
   0.87906  -1.51693   0.87904  -1.57847
   0.88416  -1.52471   0.88414  -1.58463
   0.88916  -1.53233   0.88914  -1.59066
   0.89407  -1.53980   0.89405  -1.59654
   0.89888  -1.54710   0.89886  -1.60227
   0.90359  -1.55424   0.90357  -1.60787
   0.90820  -1.56121   0.90818  -1.61333
   0.91271  -1.56802   0.91269  -1.61864
